0512150222,still,
0512150451,talking on the phone,
0512154505,writing on whiteboard,
0512150912,drinking water,
0512155606,rinsing mouth with water,
0512155226,brushing teeth,
0512160143,wearing contact lenses,
0512160254,wearing contact lenses,
0512151230,talking on couch,
0512151444,relaxing on couch,
0512152943,cooking (chopping),
0512152416,cooking (stirring),
0512151857,opening pill container,
0512151934,opening pill container,
0512152013,opening pill container,
0512153758,working on computer,
0512154740,random,
END
