0510160858,still,
0510161326,talking on the phone,
0510165136,writing on whiteboard,
0510161658,drinking water,
0510171120,rinsing mouth with water,
0510170707,brushing teeth,
0510171427,wearing contact lenses,
0510171507,wearing contact lenses,
0510162529,talking on couch,
0510162821,relaxing on couch,
0510164129,cooking (chopping),
0510163840,cooking (stirring),
0510163444,opening pill container,
0510163513,opening pill container,
0510163542,opening pill container,
0510164621,working on computer,
0510165514,random,
END
