0511121410,still,
0511121542,talking on the phone,
0511124850,writing on whiteboard,
0511121954,drinking water,
0511130523,rinsing mouth with water,
0511130138,brushing teeth,
0511130920,wearing contact lenses,
0511131018,wearing contact lenses,
0511122214,talking on couch,
0511122813,relaxing on couch,
0511124349,cooking (chopping),
0511124101,cooking (stirring),
0511123142,opening pill container,
0511123218,opening pill container,
0511123238,opening pill container,
0511123806,working on computer,
0511125200,random,
END
